station,lat,lon,dyear,dtemp
723110-13873,33.948,-83.328,13,0.6592063492063147
725957-24215,41.333,-122.333,5,0.19622222222221808
911900-22516,20.9,-156.429,13,0.43145785440610496
725760-24021,42.815,-108.726,13,0.0067432950191630425
725970-24225,42.381,-122.872,13,-0.40666666666663787
724839-93225,38.696,-121.59,9,-0.07440804597702311
725705-99999,40.441,-109.51,2,0.05642905982907109
747240-23168,32.883,-112.717,5,-0.06910191547585498
910660-22701,28.2,-177.383,29,2.6503333333333217
911820-22521,21.324,-157.929,47,2.1948888888888547
703210-99999,59.05,-158.517,3,0.33711111111111336
722166-93845,30.783,-83.277,34,0.5007222222222225
722670-23042,33.666,-101.823,39,0.7553333333332972
724177-13734,39.402,-77.984,13,-0.949547892720318
723066-13713,35.344,-77.965,37,2.0941038961038743
724095-14792,40.277,-74.816,8,0.47066666666665924
725745-24057,41.8,-107.2,8,-0.03988888888888198
702315-99999,62.883,-155.967,22,0.704978170041997
723030-13714,35.174,-79.009,43,0.4324444444444566
722696-99999,32.85,-106.1,8,0.7312657004830783
745310-93065,38.967,-104.817,13,1.2772948525737036
727445-99999,46.527,-90.131,3,0.23733333333333917
725560-14941,41.986,-97.435,13,-0.5623111111111001
724450-03945,38.817,-92.218,13,0.19788888888892586
994250-99999,42.483,-79.35,1,-0.2801111111111112
725520-14935,40.961,-98.314,13,-0.24316666666662456
911977-99999,19.75,-155.55,2,-0.012272727272730322
722345-03866,32.55,-88.567,13,0.24314973608767332
724650-23065,39.367,-101.693,13,0.9746666666666925
747400-13973,30.511,-99.766,7,0.7107393162392981
722446-93987,31.236,-94.754,13,1.0745000000000289
727937-99999,47.9,-122.283,34,1.5307901234568106
725240-14820,41.405,-81.853,13,0.19044444444443798
722900-23188,32.734,-117.183,44,-1.2569444444444287
725485-14940,43.154,-93.327,13,-0.710166666666666
723745-93139,34.257,-111.339,1,-0.03839506172838014
722055-99999,29.167,-82.217,14,0.18955938697315844
723650-23050,35.042,-106.616,44,1.7853333333333126
725038-14714,41.5,-74.1,38,-1.276143236074276
723419-93992,33.221,-92.814,13,0.3804444444444073
722485-13944,32.5,-93.667,44,-0.054388888888937004
727730-24153,46.921,-114.093,13,-0.1882222222222225
725720-24127,40.778,-111.969,44,2.9802911877394536
723150-03812,35.432,-82.538,13,0.41322222222221683
911650-22536,21.984,-159.341,13,0.09088888888891233
726796-24138,45.258,-112.554,3,-0.6433968253968203
722695-99999,32.283,-106.917,2,-0.002999999999985903
702190-26615,60.785,-161.829,41,3.7281111111111187
725037-94745,41.067,-73.708,13,0.22598659003833177
726387-14850,44.741,-85.583,13,-0.265611111111113
702460-26512,63.886,-152.302,7,0.876678872053887
727675-94011,48.417,-101.35,21,-0.47710769230766914
726815-24106,43.05,-115.867,49,1.5265193760262434
700260-27502,71.283,-156.782,41,4.613833333333346
722448-13972,32.354,-95.403,6,0.3861666666666963
722868-99999,33.833,-116.5,33,1.4117904214559616
724810-23203,37.367,-120.567,32,0.4619563218390681
702960-26410,60.489,-145.451,44,1.9806929824561337
724920-23237,37.889,-121.226,45,0.30577777777777726
722255-93842,32.516,-84.942,38,0.3990000000000009
722740-23160,32.131,-110.955,13,1.2218888888888557
724830-23232,38.507,-121.495,13,-0.28612643678161476
727676-24013,48.255,-101.273,13,-0.6832777777778176
725170-14737,40.651,-75.449,13,0.24200000000000443
724735-23170,38.371,-110.715,6,-0.0716828554587039
725396-14815,42.308,-85.251,39,-0.042268199233717496
723560-13968,36.199,-95.887,39,1.5320000000000107
726410-14837,43.141,-89.345,38,-0.018000000000014893
722735-93026,31.458,-109.606,38,0.9452222222221991
746941-13786,36.261,-76.175,9,-0.14488888888890017
722116-99999,27.9,-82.683,3,-0.12055555555554065
722636-93042,36.017,-102.55,38,0.32368559218555504
725626-24091,40.51,-101.62,9,-0.11454385964914593
994330-99999,43.75,-87.683,1,-0.37266666666664605
722167-99999,38.25,-78.05,14,-1.1649532163743004
726580-14922,44.883,-93.229,41,0.9167777777777673
722620-23055,31.831,-104.809,6,1.6811535065800598
911860-99999,21.15,-157.1,36,0.31386292039167074
722585-93901,32.733,-96.967,6,0.06099999999997863
724516-99999,37.033,-100.95,33,-0.025790956170297363
746120-93104,35.688,-117.693,13,0.37889722116968017
727750-24143,47.473,-111.382,13,-1.2595555555555649
723630-23047,35.23,-101.704,43,1.0517777777777724
723566-93950,34.882,-95.783,32,0.44849999999998147
725150-04725,42.207,-75.98,13,-0.13633333333331166
